,PPG,color,color_unit,generic,grain_index,maltster,name
0,39,2,°L,True,0,Briess,Wheat (US)
1,37,1,°L,False,1,Briess,2-Row Brewers Malt
2,35,10,°L,True,2,Briess,Munich - Light 10L (US)
3,36,1,°L,True,3,Briess,Pilsner (US)
4,36,3,°L,False,4,Briess,Pale Ale Malt
5,37,1,°L,True,5,Weyermann®,Pilsner (DE)
6,34,10,°L,True,6,Briess,Caramel/Crystal 10L (US)
7,36,2,°L,True,7,Any,Pale 2-Row (US)
8,30,8,°L,False,8,Any,Cara 8 (Cara-Pils)
9,34,5,°L,False,9,Any,Cherrywood Smoke Malt
10,33,300,°L,True,10,Briess,Roasted Barley (US)
11,34,5,°L,False,11,Any,Rolled Oats
12,32,475,°L,True,12,Bairds,Chocolate (UK)
13,36,1,°L,True,13,Any,Torrified Wheat
14,32,120,°L,True,14,Briess,Caramel/Crystal 120L (US)
15,34,60,°L,True,15,Briess,Caramel/Crystal 60L (US)
16,30,550,°L,True,16,Bairds,Black Malt (UK)
17,34,0,°L,True,17,Briess,Carapils (Dextrine Malt) (US)
18,46,0,°L,True,18,Any,Dextrose (Corn Sugar)
19,34,40,°L,True,19,Briess,Caramel/Crystal 40L (US)
20,33,20,°L,True,20,Simpson's,Amber (UK)
21,35,7,°L,True,21,Simpson's,Munich (UK)
22,37,1,°L,False,22,Any,Colorado Two-row Pale
23,37,3,°L,False,23,Any,Rahr Red Wheat Malt
24,34,2,°L,True,24,Any,Flaked Wheat
25,37,1,°L,True,25,Any,Flaked Corn
26,34,3,°L,False,26,Any,Crisp Pale Ale Malt
27,37,3,°L,True,27,Castle,Pale Ale (BE)
28,36,0,°L,True,28,Any,Belgian Candi Sugar - Clear/Blond
29,35,46,°L,False,29,Any,Caramel Wheat Malt
30,37,23,°L,True,30,Gambrinus,Honey Malt (CA)
31,38,4,°L,True,31,Any,Maris Otter Pale (UK)
32,35,3,°L,True,32,Briess,Vienna (US)
33,0,0,°L,False,33,Any,Rice Hulls
34,34,30,°L,False,34,Any,Carastan
35,34,20,°L,True,35,Briess,Caramel/Crystal 20L (US)
36,38,3,°L,False,36,Any,"Pale Malt, Halcyon ()"
37,37,1,°L,True,37,Rahr,Pilsner (US)
38,35,130,°L,False,38,Any,Caraaroma
39,35,112,°L,True,39,Castle,Special B (BE)
40,33,2,°L,True,40,Any,Flaked Oats
41,35,1,°L,True,41,Any,Honey 
42,46,50,°L,True,42,Any,Brown Sugar
43,27,525,°L,True,43,Any,Black Patent (UK)
44,30,220,°L,True,44,Any,Special B (BE)
45,37,3,°L,True,45,Weyermann®,Vienna (DE)
46,37,2,°L,False,46,Weyermann®,Pale Ale Malt
47,37,3,°L,False,47,Any,Valley Malt 2-Row Pale Malt
48,33,80,°L,True,48,Briess,Caramel/Crystal 80L (US)
49,10,15,°L,True,49,Great Western,Crystal 15L (CA)
50,31,1,°L,True,50,Simpson's,Flaked Oats
51,34,350,°L,True,51,Briess,Chocolate (US)
52,32,500,°L,True,52,Briess,Black Malt (US)
53,32,1,°L,True,53,Any,Flaked Barley
54,34,1,°L,True,54,Briess,Carapils (Dextrine Malt) (US)
55,37,3,°L,False,55,Crisp,Best Pale Ale Malt
56,44,10,°L,True,56,Any,Turbinado
57,36,3,°L,False,57,Simpson's,Vienna Malt
58,34,65,°L,False,58,Any,British Crystal 65L
59,35,20,°L,True,59,Any,Munich - Dark 20L (US)
60,34,1,°L,False,60,Any,CaraFoam
61,35,9,°L,True,61,Weyermann®,CaraHell (DE)
62,35,7,°L,True,62,Any,Munich Light (DE)
63,30,430,°L,False,63,Any,Carafa Special II
64,33,11,°L,True,64,Simpson's,Cara Malt (UK)
65,34,28,°L,True,65,Briess,Victory (US)
66,36,3,°L,True,66,Any,Pale 2-Row (UK)
67,35,23,°L,True,67,Castle,Biscuit (BE)
68,37,3,°L,False,68,Any,Castle Pale Ale
69,37,7,°L,False,69,Any,Dark Wheat
70,33,150,°L,False,70,Any,Crystal 150L
71,33,90,°L,False,71,Any,Crystal 90L
72,33,26,°L,False,72,Any,CaraAmber
73,34,430,°L,False,73,Any,De-Husked Carafa II
74,38,3,°L,True,74,Crisp,Maris Otter Pale (UK)
75,34,55,°L,False,75,Any,"English Crystal, 50-60 L"
76,35,75,°L,False,76,Any,Crisp Brown
77,24,375,°L,False,77,Any,English Chocolate Malt
78,46,10,°L,False,78,Any,Piloncillo
79,35,3,°L,True,79,Any,Vienna (DE)
80,37,8,°L,False,80,Any,German Munich Malt
81,32,180,°L,False,81,Any,Candi Syrup D-180
82,32,45,°L,False,82,Any,Candi Syrup D-45
83,39,2,°L,False,83,Any,German Wheat
84,33,75,°L,True,84,Any,CaraMunich (BE)
85,30,10,°L,False,85,Any,Bonlander
86,41,2,°L,False,86,Rahr,White Wheat
87,33,2,°L,False,87,Any,Carafoam
88,34,5,°L,False,88,Any,toasted oats
89,37,1,°L,True,89,Any,Flaked Oats
90,34,55,°L,True,90,Any,Crystal 50L (UK)
91,39,2,°L,True,91,Any,Pale Wheat (DE)
92,33,18,°L,True,92,Any,CaraRed (DE)
93,34,5,°L,False,93,Any,weyermann CaraWheat
94,29,3,°L,True,94,Briess,Rye (US)
95,38,3,°L,False,95,Any,English Pale
96,35,0,°L,True,96,Any,Lactose (Milk Sugar)
97,36,2,°L,False,97,Any,Canadian Malting Superior Pilsen
98,36,2,°L,False,98,Any,Canada Malting Company White Wheat
99,34,2,°L,False,99,Any,Great Western Premium 2-Row Malt
100,30,33,°L,True,100,Any,CaraMunich I (DE)
101,34,3,°L,False,101,Any,Pearl ()
102,35,15,°L,False,102,Any,Munich Malt - 15L
103,36,1,°L,False,103,Any,Pilsner (2 Row) UK
104,34,550,°L,True,104,Any,Midnight Wheat Malt (US)
105,34,130,°L,False,105,Briess,Extra Special Malt
106,37,2,°L,True,106,Gambrinus,Pale Ale (CA)
107,37,10,°L,False,107,Gambrinus,Organic Munich 10°L
108,32,2,°L,False,108,Any,Prairie Malt Pale 2 Row
109,36,4,°L,False,109,Any,Cargill Special Pale
110,34,75,°L,True,110,Any,Caramel/Crystal 75L (US)
111,38,1,°L,True,111,Rahr,2-Row (US)
112,33,2,°L,True,112,Any,Acidulated Malt (DE)
113,37,2,°L,False,113,Any,US Two-Row Pale
114,36,2,°L,True,114,Thomas Fawcett & Sons,Maris Otter Pale (UK)
115,35,5,°L,False,115,Any,Warminster Floor-Malted Maris Otter
116,34,75,°L,False,116,Bairds,Dark Crystal Malt
117,40,8,°L,False,117,Any,Wildflower honey
118,32,525,°L,True,118,Any,Carafa III (DE)
119,32,431,°L,True,119,Weyermann®,Carafa II (DE)
120,37,1,°L,True,120,Any,2-Row (US)
121,27,530,°L,True,121,Any,Black Barley (US)
122,32,27,°L,True,122,Any,Amber (UK)
123,31,413,°L,True,123,Any,Chocolate Wheat (DE)
124,34,40,°L,True,124,Any,Crystal 40L (CA)
125,34,148,°L,False,125,Any,Special B
