,ABV,FG,IBU,OG,SRM,boil_time,boil_time_units,extras,fermentables,hops,name,style,volume,volume_units,yeast_attenuation,yeast_lab,yeast_name
0,0.05,1.01,77,1.048,13,60,min,1,"{0: {'amount': 6.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}, 1: {'amount': 3.0, 'amount_unit': 'lb', 'name': 'Plain Extra Light DME', 'maltster': 'Muntons', 'use': 'Boil', 'PPG': 43, 'color': 3, 'color_unit': '°L'}, 2: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Vienna Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 35, 'color': 3, 'color_unit': '°L'}, 3: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Candi Sugar, Amber', 'maltster': 'Any', 'use': 'Boil', 'PPG': 36, 'color': 75, 'color_unit': '°L'}, 4: {'amount': 1.0, 'amount_unit': 'lb', 'name': '2-Row Caramel Malt 40L', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 40, 'color_unit': '°L'}}","{0: {'amount': 1.5, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.15}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Columbus (US)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.15}, 2: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.12}, 3: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Simcoe (US)', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13}, 4: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 5, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.12}}",Bag of Tricks Belgian IPA,American IPA,6.0,gal,0.8,White Labs WLP565,Belgian Saison I Yeast
1,0.055,1.013,132,1.055,38,60,min,0,"{0: {'amount': 9.0, 'amount_unit': 'lb', 'name': 'Pale Malt (2 Row) US', 'maltster': 'Any', 'use': 'Mash', 'PPG': 36, 'color': 2, 'color_unit': '°L'}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Caramel/Crystal Malt - 40L', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 40, 'color_unit': '°L'}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Black (Patent) Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 25, 'color': 500, 'color_unit': '°L'}}","{0: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Citra', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.12}, 1: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Citra', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.12}, 2: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Citra', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.12}, 3: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Citra', 'time': 0, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.12}}",Sessionable Cascadian Dark,American IPA,5.0,gal,0.765,US-05,Safale American
2,0.062,1.016,23,1.063,7,80,min,0,"{0: {'amount': 5.5, 'amount_unit': 'lb', 'name': 'German Vienna', 'maltster': 'Any', 'use': 'Mash', 'PPG': 35, 'color': 3, 'color_unit': '°L'}, 1: {'amount': 5.5, 'amount_unit': 'lb', 'name': 'Pilsen Malt', 'maltster': 'GlobalMalt', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}, 2: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Munich Malt I', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 37, 'color': 5, 'color_unit': '°L'}, 3: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Belgian CaraVienne', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 22, 'color_unit': '°L'}, 4: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'CARAMUNICH® I', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 35, 'color': 34, 'color_unit': '°L'}}","{0: {'amount': 1.6, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 75, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.027999999999999997}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Tettnanger (DE)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.061}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Tettnanger (DE)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.061}}",Pangtoberfest,Oktoberfest/Märzen,6.0,gal,0.75,White Labs WLP029,German Ale/Kölsch Yeast
3,0.049,1.015,26,1.052,4,60,min,0,"{0: {'amount': 6.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}, 1: {'amount': 4.5, 'amount_unit': 'lb', 'name': 'White Wheat', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 41, 'color': 2, 'color_unit': '°L'}, 2: {'amount': 0.75, 'amount_unit': 'lb', 'name': ""'s Light Munich"", 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 6, 'color_unit': '°L'}, 3: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Caramel Malt 10L', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 10, 'color_unit': '°L'}}","{0: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.03}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 45, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.03}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.03}, 4: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11}}",Oberon 2013,American Wheat or Rye Beer,6.5,gal,0.72,White Labs WLP320,American Hefeweizen Ale Yeast
4,0.048,1.009,29,1.046,6,60,min,0,"{0: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Rye', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 3, 'color_unit': '°L'}, 1: {'amount': 1.5, 'amount_unit': 'lb', 'name': 'Munich Type II', 'maltster': 'Any', 'use': 'Mash', 'PPG': 35, 'color': 9, 'color_unit': '°L'}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': '6-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 36, 'color': 1, 'color_unit': '°L'}, 3: {'amount': 0.37, 'amount_unit': 'lb', 'name': 'Breiss 6-row Brewers Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 32, 'color': 2, 'color_unit': '°L'}}","{0: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Czech Saaz', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.05}, 1: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Czech Saaz', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.05}}",Rye,Roggenbier (German Rye Beer),2.75,gal,0.8,,American Farmhouse Blend (WLP670)
5,0.057,1.015,26,1.058,8,90,min,1,"{0: {'amount': 9.7, 'amount_unit': 'lb', 'name': 'British Golden Promise', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 2, 'color_unit': '°L'}, 1: {'amount': 1.21, 'amount_unit': 'lb', 'name': 'Caramalt ()', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 15, 'color_unit': '°L'}, 2: {'amount': 0.79, 'amount_unit': 'lb', 'name': 'English Crystal 30-37 L', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 34, 'color_unit': '°L'}, 3: {'amount': 0.4, 'amount_unit': 'lb', 'name': 'Carapils®\xa0Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 1, 'color_unit': '°L'}}","{0: {'amount': 0.28, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 75, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.064}, 1: {'amount': 0.53, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.064}, 2: {'amount': 1.27, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.064}, 3: {'amount': 1.59, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.064}, 4: {'amount': 2.12, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 4, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.064}, 5: {'amount': 2.12, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 4, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.064}}",epic clone,American Pale Ale,5.28,gal,0.74,Wyeast 1272,American Ale II
6,0.045,1.011,45,1.046,4,60,min,0,"{0: {'amount': 7.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}, 1: {'amount': 0.37, 'amount_unit': 'lb', 'name': 'Caramel Malt 20L', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 20, 'color_unit': '°L'}, 2: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Melanoidin Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 27, 'color_unit': '°L'}, 3: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Oat Flakes', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 31, 'color': 1, 'color_unit': '°L'}, 4: {'amount': 0.12, 'amount_unit': 'lb', 'name': 'Honey Malt', 'maltster': 'Gambrinus', 'use': 'Mash', 'PPG': 37, 'color': 23, 'color_unit': '°L'}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Simcoe (US)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Summit (US)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.18}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.141}, 3: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Simcoe (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13}, 4: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Summit (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.18}, 5: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Summit (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.18}, 6: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.141}, 7: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Simcoe (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.13}, 8: {'amount': 2.0, 'amount_unit': 'oz', 'name': '3-6-9 Experimental (Simcoe Sister Strain) (US)', 'time': 7, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.107}}",All Day,American Pale Ale,5.0,gal,0.75,White Labs WLP039,Nottingham Ale Yeast
7,0.054000000000000006,1.013,50,1.054,3,60,min,1,"{0: {'amount': 8.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}, 1: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'American Vienna', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 4, 'color_unit': '°L'}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nugget (US)', 'time': 60, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.13}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 45, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.1}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 30, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.1}, 3: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 15, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.1}, 4: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 0, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.105}}",centennial ale II,American Pale Ale,5.0,gal,0.765,White Labs WLP001,California Ale Yeast
8,0.055999999999999994,1.013,50,1.056,4,90,min,0,"{0: {'amount': 8.5, 'amount_unit': 'lb', 'name': 'Best Malz Pilsner', 'maltster': 'Any', 'use': 'Mash', 'PPG': 35, 'color': 2, 'color_unit': '°L'}, 1: {'amount': 2.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L'}}","{0: {'amount': 0.25, 'amount_unit': 'oz', 'name': '3-6-9 Experimental (Simcoe Sister Strain) (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.107}, 1: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.087}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': '3-6-9 Experimental (Simcoe Sister Strain) (US)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.107}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.087}, 4: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Motueka (NZ)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07200000000000001}, 5: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.087}, 6: {'amount': 0.5, 'amount_unit': 'oz', 'name': '3-6-9 Experimental (Simcoe Sister Strain) (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.107}, 7: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Motueka (NZ)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.07200000000000001}}",JediPA,American IPA,5.0,gal,0.76,Wyeast 2112,California Lager
9,0.059000000000000004,1.01,29,1.055,5,90,min,1,"{0: {'amount': 9.5, 'amount_unit': 'lb', 'name': 'Castle Belgian Pilsner Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 2, 'color_unit': '°L'}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Belgian Candi Syrup, Clear', 'maltster': 'Any', 'use': 'Boil', 'PPG': 32, 'color': 0, 'color_unit': '°L'}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Rahr Red Wheat Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 3, 'color_unit': '°L'}, 3: {'amount': 0.37, 'amount_unit': 'lb', 'name': 'Belgian CaraVienne', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 22, 'color_unit': '°L'}, 4: {'amount': 0.12, 'amount_unit': 'lb', 'name': 'Acidulated Malt', 'maltster': 'Any', 'use': 'Mash', 'PPG': 33, 'color': 2, 'color_unit': '°L'}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nelson Sauvin (NZ)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11800000000000001}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nelson Sauvin (NZ)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11800000000000001}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nelson Sauvin (NZ)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11800000000000001}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Nelson Sauvin (NZ)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.11800000000000001}, 4: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Nelson Sauvin (NZ)', 'time': 7, 'use': 'Dry Hop', 'form': 'Pellet', 'alpha': 0.11800000000000001}}",Dave's Not Here Man!,Saison,5.5,gal,0.82,Wyeast 3711,French Saison
