,ABV,FG,IBU,OG,SRM,boil_time,boil_time_units,extras,fermentables,hops,link,meets_guidelines,name,style,volume,volume_units,yeast
0,0.052000000000000005,1.013,32,1.053,2,90,min,"{0: {'amount': 2.0, 'amount_unit': 'tbs', 'name': 'Lemon Zest', 'time': '14.0\ndays', 'use': 'Primary', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Whirlfloc Tablet', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Yeast Nutrient (Wyeast)', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 3: {'amount': 2.0, 'amount_unit': 'tbs', 'name': 'Lime Zest', 'time': '14.0\ndays', 'use': 'Primary', 'generic': True}}","{0: {'amount': 9.5, 'amount_unit': 'lb', 'name': 'Pilsner (DE)', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Vienna Malt', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 36, 'color': 3, 'color_unit': '°L', 'generic': False}, 2: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Wheat Malt, German', 'maltster': 'Any', 'use': 'Mash', 'PPG': 39, 'color': 2, 'color_unit': '°L', 'generic': False}}","{0: {'amount': 1.5, 'amount_unit': 'oz', 'name': 'Tettnanger (DE)', 'time': 60, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.045, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Citra (US)', 'time': 10, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.11, 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Tettnanger (DE)', 'time': 10, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.045, 'generic': True}}",http://www.brewtoad.com/recipes/lemon-lime-gfp,0,Lemon Lime GFP,Kölsch,5.47,gal,"{0: {'name': 'German Ale/Kölsch Yeast', 'yeast_lab': 'White Labs WLP029', 'yeast_attenuation': 0.75}}"
1,0.05,1.016,30,1.054,14,60,min,"{0: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Irish Moss', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'each', 'name': 'BrewVint Yeast Nutrient', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 9.0, 'amount_unit': 'lb', 'name': 'English Pale', 'maltster': 'Any', 'use': 'Mash', 'PPG': 38, 'color': 3, 'color_unit': '°L', 'generic': False}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Munich (UK)', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 35, 'color': 7, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.81, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 60L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 60, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.62, 'amount_unit': 'lb', 'name': 'Wheat (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 39, 'color': 2, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Carapils (Dextrine Malt) (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 1, 'color_unit': '°L', 'generic': True}, 5: {'amount': 0.12, 'amount_unit': 'lb', 'name': 'Chocolate (UK)', 'maltster': 'Bairds', 'use': 'Mash', 'PPG': 32, 'color': 475, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Cascade (NZ)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.055, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Mount Hood (US)', 'time': 15, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.06, 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Fuggle (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}}",http://www.brewtoad.com/recipes/odell-90-shilling,0,O'dell 90 Shilling,Northern English Brown Ale,5.49,gal,"{0: {'name': 'California Ale Yeast', 'yeast_lab': 'White Labs WLP001', 'yeast_attenuation': 0.71}, 1: {'name': 'London Ale III', 'yeast_lab': 'Wyeast 1318', 'yeast_attenuation': 0.71}}"
2,0.075,1.021,25,1.078,4,60,min,"{0: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Coriander Seed', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 1: {'amount': 0.0, 'amount_unit': 'each', 'name': 'Sweet Orange Peel', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Nutmeg (Ground)', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Bitter Orange Peel', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 11.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': False}, 1: {'amount': 6.0, 'amount_unit': 'lb', 'name': 'White Wheat', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 41, 'color': 2, 'color_unit': '°L', 'generic': False}}","{0: {'amount': 1.25, 'amount_unit': 'oz', 'name': 'Perle (US)', 'time': 30, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.075, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Styrian Golding (SI)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}, 2: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Centennial (US)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.1, 'generic': True}}",http://www.brewtoad.com/recipes/pelican-wing-white-ale,0,Pelican Wing White Ale,Witbier,5.0,gal,"{0: {'name': 'Safbrew T-58', 'yeast_lab': 'Fermentis T-58', 'yeast_attenuation': 0.73}}"
3,0.069,1.019,30,1.072,13,60,min,"{0: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Irish Moss', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 10.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': False}, 1: {'amount': 3.0, 'amount_unit': 'lb', 'name': 'Munich - Light 10L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 35, 'color': 10, 'color_unit': '°L', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Wheat (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 39, 'color': 2, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.75, 'amount_unit': 'lb', 'name': 'CaraMunich II (DE)', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 35, 'color': 45, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 60L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 60, 'color_unit': '°L', 'generic': True}, 5: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Special B (BE)', 'maltster': 'Castle', 'use': 'Mash', 'PPG': 35, 'color': 112, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Vanguard (US)', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.044000000000000004, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Perle (US)', 'time': 60, 'use': 'First Wort', 'form': 'Pellet', 'alpha': 0.08199999999999999, 'generic': True}, 2: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.033, 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Perle (US)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.08199999999999999, 'generic': True}, 4: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 5, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.033, 'generic': True}, 5: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.033, 'generic': True}, 6: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Vanguard (US)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.044000000000000004, 'generic': True}}",http://www.brewtoad.com/recipes/maibock-style-ale,0,Maibock style ale,Maibock/Helles Bock,5.49,gal,"{0: {'name': 'Safale US-05', 'yeast_lab': 'Fermentis US-05', 'yeast_attenuation': 0.73}}"
4,0.045,1.012,37,1.046,5,60,min,"{0: {'amount': 1.0, 'amount_unit': 'each', 'name': 'Whirlfloc Tablet', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 6.0, 'amount_unit': 'lb', 'name': 'Pale 2-Row (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 36, 'color': 2, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Flaked Corn', 'maltster': 'Any', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Carapils (Dextrine Malt) (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 1, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Steep', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': False}, 4: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Biscuit (BE)', 'maltster': 'Castle', 'use': 'Mash', 'PPG': 35, 'color': 23, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Czech Saaz', 'time': 60, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.05, 'generic': True}}",http://www.brewtoad.com/recipes/creamy-beast,0,Creamy Beast,Cream Ale,5.0,gal,"{0: {'name': 'American Ale II', 'yeast_lab': 'Wyeast 1272', 'yeast_attenuation': 0.75}}"
5,0.075,1.019,78,1.076,19,60,min,0,"{0: {'amount': 22.0, 'amount_unit': 'lb', 'name': '2-Row Brewers Malt', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': False}, 1: {'amount': 2.5, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 40L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 40, 'color_unit': '°L', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Flaked Wheat', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 2, 'color_unit': '°L', 'generic': True}, 3: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Flaked Oats', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 31, 'color': 1, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'American Black Roast', 'maltster': 'Any', 'use': 'Mash', 'PPG': 26, 'color': 127, 'color_unit': '°L', 'generic': False}, 5: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Chocolate (US)', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 127, 'color_unit': '°L', 'generic': True}, 6: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Roasted Barley (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 33, 'color': 300, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 2.0, 'amount_unit': 'oz', 'name': 'Magnum (DE)', 'time': 60, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.16699999999999998, 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Warrior (US)', 'time': 30, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.05, 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Magnum (DE)', 'time': 30, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.16699999999999998, 'generic': True}, 3: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Warrior (US)', 'time': 15, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.05, 'generic': True}, 4: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Warrior (US)', 'time': 5, 'use': 'Boil', 'form': 'Leaf', 'alpha': 0.05, 'generic': True}}",http://www.brewtoad.com/recipes/miasma-of-malt,0,Miasma of Malt,American Stout,10.01,gal,"{0: {'name': 'Nottingham', 'yeast_lab': '', 'yeast_attenuation': 0.75}}"
6,0.051,1.015,22,1.054,26,60,min,"{0: {'amount': 0.12, 'amount_unit': 'tsp', 'name': 'Irish Moss', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 4.75, 'amount_unit': 'lb', 'name': 'Pilsner (DE)', 'maltster': 'Weyermann®', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Munich (UK)', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 35, 'color': 7, 'color_unit': '°L', 'generic': True}, 2: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Chocolate (UK)', 'maltster': 'Bairds', 'use': 'Mash', 'PPG': 32, 'color': 475, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.19, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 40L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 40, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.12, 'amount_unit': 'lb', 'name': 'Carafa I', 'maltster': 'Any', 'use': 'Mash', 'PPG': 32, 'color': 337, 'color_unit': '°L', 'generic': False}, 5: {'amount': 0.06, 'amount_unit': 'lb', 'name': 'Roasted Barley (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 33, 'color': 300, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.4, 'amount_unit': 'oz', 'name': 'Hallertau (DE)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.042, 'generic': True}, 1: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Hallertau (DE)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.042, 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Hallertau (DE)', 'time': 1, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.042, 'generic': True}}",http://www.brewtoad.com/recipes/black-beer-4,0,Black beer,Schwarzbier (Black Beer),3.01,gal,"{0: {'name': 'Safale US-05', 'yeast_lab': 'Fermentis US-05', 'yeast_attenuation': 0.73}}"
7,0.076,1.021,29,1.079,26,90,min,0,"{0: {'amount': 5.0, 'amount_unit': 'lb', 'name': 'Wheat (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 39, 'color': 2, 'color_unit': '°L', 'generic': True}, 1: {'amount': 4.0, 'amount_unit': 'lb', 'name': 'Munich (UK)', 'maltster': ""Simpson's"", 'use': 'Mash', 'PPG': 35, 'color': 7, 'color_unit': '°L', 'generic': True}, 2: {'amount': 3.0, 'amount_unit': 'lb', 'name': '6-Row (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 36, 'color': 1, 'color_unit': '°L', 'generic': True}, 3: {'amount': 1.5, 'amount_unit': 'lb', 'name': 'Caramel/Crystal 60L (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 34, 'color': 60, 'color_unit': '°L', 'generic': True}, 4: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Rice Hulls', 'maltster': 'Any', 'use': 'Mash', 'PPG': 0, 'color': 0, 'color_unit': '°L', 'generic': False}, 5: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'toasted oats', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 5, 'color_unit': '°L', 'generic': False}, 6: {'amount': 0.37, 'amount_unit': 'lb', 'name': 'Black Malt (US)', 'maltster': 'Briess', 'use': 'Mash', 'PPG': 32, 'color': 500, 'color_unit': '°L', 'generic': True}}","{0: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Northern Brewer (DE)', 'time': 90, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.085, 'generic': True}, 1: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Spalt (DE)', 'time': 25, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.071, 'generic': True}, 2: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Spalt (DE)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.071, 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'oz', 'name': 'Northern Brewer (DE)', 'time': 10, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.085, 'generic': True}}",http://www.brewtoad.com/recipes/black-cat-wheat-porter-1,0,Black Cat Wheat Porter,Robust Porter,5.0,gal,"{0: {'name': 'Safale S-04', 'yeast_lab': 'Fermentis S-04', 'yeast_attenuation': 0.73}}"
8,0.062,1.016,23,1.063,30,60,min,"{0: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Bitter Orange Peel', 'time': '5.0\nmin', 'use': 'Boil', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Coriander Seed', 'time': '5.0\nmin', 'use': 'Boil', 'generic': True}, 2: {'amount': 2.0, 'amount_unit': 'lb', 'name': 'Blueberries (Frozen)', 'time': '7.0\ndays', 'use': 'Secondary', 'generic': True}}","{0: {'amount': 8.0, 'amount_unit': 'lb', 'name': 'Pilsner (US)', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 37, 'color': 1, 'color_unit': '°L', 'generic': True}, 1: {'amount': 3.0, 'amount_unit': 'lb', 'name': 'White Wheat', 'maltster': 'Rahr', 'use': 'Mash', 'PPG': 41, 'color': 2, 'color_unit': '°L', 'generic': False}, 2: {'amount': 1.5, 'amount_unit': 'lb', 'name': 'Belgian Candi Sugar - Dark', 'maltster': 'Any', 'use': 'Boil', 'PPG': 36, 'color': 275, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Flaked Wheat', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 2, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.25, 'amount_unit': 'lb', 'name': 'Maltodextrine', 'maltster': 'Any', 'use': 'Mash', 'PPG': 0, 'color': 0, 'color_unit': '°L', 'generic': False}}","{0: {'amount': 1.0, 'amount_unit': 'oz', 'name': 'Tettnanger (US)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.045, 'generic': True}, 1: {'amount': 0.25, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.049, 'generic': True}, 2: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Saaz (CZ)', 'time': 20, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.049, 'generic': True}}",http://www.brewtoad.com/recipes/frank-black-barry-white-v2,0,Frank Black Barry White v2,Witbier,5.49,gal,"{0: {'name': 'Belgian Witbier', 'yeast_lab': 'Wyeast 3944', 'yeast_attenuation': 0.74}}"
9,0.055,1.015,21,1.057,44,60,min,"{0: {'amount': 5.0, 'amount_unit': 'oz', 'name': 'Corn Sugar', 'time': '21.0\ndays', 'use': 'Bottle', 'generic': True}, 1: {'amount': 4.0, 'amount_unit': 'oz', 'name': 'Cocoa Powder', 'time': '1.0\nmin', 'use': 'Boil', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Irish Moss', 'time': '15.0\nmin', 'use': 'Boil', 'generic': True}, 3: {'amount': 1.0, 'amount_unit': 'tsp', 'name': 'Yeast Nutrient (Wyeast)', 'time': '10.0\nmin', 'use': 'Boil', 'generic': True}}","{0: {'amount': 7.5, 'amount_unit': 'lb', 'name': 'Maris Otter Pale (UK)', 'maltster': 'Thomas Fawcett & Sons', 'use': 'Mash', 'PPG': 36, 'color': 2, 'color_unit': '°L', 'generic': True}, 1: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Flaked Barley', 'maltster': 'Any', 'use': 'Mash', 'PPG': 32, 'color': 1, 'color_unit': '°L', 'generic': True}, 2: {'amount': 1.0, 'amount_unit': 'lb', 'name': 'Lactose (Milk Sugar)', 'maltster': 'Any', 'use': 'Boil', 'PPG': 35, 'color': 0, 'color_unit': '°L', 'generic': True}, 3: {'amount': 0.62, 'amount_unit': 'lb', 'name': 'Roasted Barley (UK)', 'maltster': 'Bairds', 'use': 'Mash', 'PPG': 30, 'color': 550, 'color_unit': '°L', 'generic': True}, 4: {'amount': 0.62, 'amount_unit': 'lb', 'name': 'Chocolate', 'maltster': 'Any', 'use': 'Mash', 'PPG': 27, 'color': 412, 'color_unit': '°L', 'generic': False}, 5: {'amount': 0.62, 'amount_unit': 'lb', 'name': 'Brown Malt (UK)', 'maltster': 'Thomas Fawcett & Sons', 'use': 'Mash', 'PPG': 32, 'color': 56, 'color_unit': '°L', 'generic': True}, 6: {'amount': 0.5, 'amount_unit': 'lb', 'name': 'Extra Dark Crystal', 'maltster': 'Any', 'use': 'Mash', 'PPG': 34, 'color': 160, 'color_unit': '°L', 'generic': False}}","{0: {'amount': 0.75, 'amount_unit': 'oz', 'name': 'Northern Brewer (DE)', 'time': 60, 'use': 'Boil', 'form': 'Pellet', 'alpha': 0.085, 'generic': True}}",http://www.brewtoad.com/recipes/monster-chocolate-milk-stout-iv,0,Monster Chocolate Milk Stout IV,Sweet Stout,5.2,gal,"{0: {'name': 'Irish Ale Yeast', 'yeast_lab': 'White Labs WLP004', 'yeast_attenuation': 0.73}}"
